| Serial No. | Date       | Product Name |  Sales | Quantity | Place     |
| ---------: | ---------- | ------------ | -----: | -------: | --------- |
|       1001 | 2026-01-05 | Laptop       |  75000 |        3 | Chennai   |
|       1002 | 2026-01-08 | Smartphone   |  54000 |        6 | Mumbai    |
|       1003 | 2026-01-12 | Headphones   |  12000 |       10 | Delhi     |
|       1004 | 2026-01-15 | Keyboard     |   8500 |        5 | Bangalore |
|       1005 | 2026-01-20 | Monitor      |  45000 |        5 | Hyderabad |
|       1006 | 2026-01-25 | Tablet       |  60000 |        4 | Pune      |
|       1007 | 2026-02-02 | Mouse        |   6000 |       10 | Kolkata   |
|       1008 | 2026-02-07 | Printer      |  36000 |        4 | Ahmedabad |
|       1009 | 2026-02-14 | Laptop       | 100000 |        4 | Jaipur    |
|       1010 | 2026-02-18 | Smartphone   |  72000 |        8 | Kochi     |
